inclusion nb ; Z rotation ; theta ; phi ; rotMat11 ; rotMat12 ; rotMat13 ; rotMat21 ; rotMat22 ; rotMat23 ; rotMat31 ; rotMat32 ; rotMat33
37  ;  0 ; 76.3748 ; 175.637 ; -0.234887 ; -0.0760783 ; -0.969041 ; 0.0179217 ; -0.997102 ; 0.0739372 ; -0.971858 ; 0 ; 0.235569
38  ;  0 ; 88.9868 ; 13.5585 ; 0.0171906 ; -0.234439 ; 0.971979 ; 0.00414567 ; 0.972131 ; 0.234402 ; -0.999844 ; 0 ; 0.0176834
39  ;  0 ; 90.8299 ; 179.158 ; 0.014482 ; -0.014698 ; -0.999787 ; -0.000212879 ; -0.999892 ; 0.0146964 ; -0.999895 ; 0 ; -0.0144835
39  ;  0 ; 90.8299 ; 179.158 ; 0.014482 ; -0.014698 ; -0.999787 ; -0.000212879 ; -0.999892 ; 0.0146964 ; -0.999895 ; 0 ; -0.0144835
40  ;  0 ; 90.8299 ; 179.158 ; 0.014482 ; -0.014698 ; -0.999787 ; -0.000212879 ; -0.999892 ; 0.0146964 ; -0.999895 ; 0 ; -0.0144835
41  ;  0 ; 103.515 ; 3.10893 ; -0.233364 ; -0.0542345 ; 0.970876 ; -0.012675 ; 0.998528 ; 0.0527325 ; -0.972307 ; 0 ; -0.233707
41  ;  0 ; 103.515 ; 3.10893 ; -0.233364 ; -0.0542345 ; 0.970876 ; -0.012675 ; 0.998528 ; 0.0527325 ; -0.972307 ; 0 ; -0.233707
42  ;  0 ; 94.2531 ; 168.076 ; 0.0725615 ; -0.206616 ; -0.975728 ; -0.015323 ; -0.978422 ; 0.206047 ; -0.997246 ; 0 ; -0.0741617
43  ;  0 ; 92.5835 ; 13.8904 ; -0.0437563 ; -0.240066 ; 0.96977 ; -0.0108208 ; 0.970757 ; 0.239822 ; -0.998984 ; 0 ; -0.0450745
43  ;  0 ; 92.5835 ; 13.8904 ; -0.0437563 ; -0.240066 ; 0.96977 ; -0.0108208 ; 0.970757 ; 0.239822 ; -0.998984 ; 0 ; -0.0450745
44  ;  0 ; 128.639 ; 9.19824 ; -0.616388 ; -0.159851 ; 0.771047 ; -0.0998136 ; 0.987141 ; 0.124858 ; -0.781091 ; 0 ; -0.624417
45  ;  0 ; 83.5163 ; 171.93 ; -0.111801 ; -0.140385 ; -0.983764 ; 0.0158523 ; -0.990097 ; 0.139487 ; -0.993604 ; 0 ; 0.11292
45  ;  0 ; 83.5163 ; 171.93 ; -0.111801 ; -0.140385 ; -0.983764 ; 0.0158523 ; -0.990097 ; 0.139487 ; -0.993604 ; 0 ; 0.11292
45  ;  0 ; 83.5163 ; 171.93 ; -0.111801 ; -0.140385 ; -0.983764 ; 0.0158523 ; -0.990097 ; 0.139487 ; -0.993604 ; 0 ; 0.11292
46  ;  0 ; 86.5622 ; 142.501 ; -0.0475746 ; -0.608744 ; -0.791939 ; 0.0365036 ; -0.793367 ; 0.607648 ; -0.9982 ; 0 ; 0.0599655
46  ;  0 ; 86.5622 ; 142.501 ; -0.0475746 ; -0.608744 ; -0.791939 ; 0.0365036 ; -0.793367 ; 0.607648 ; -0.9982 ; 0 ; 0.0599655
47  ;  0 ; 81.9186 ; 2.73169 ; 0.140421 ; -0.0476589 ; 0.988944 ; 0.00669991 ; 0.998864 ; 0.0471856 ; -0.990069 ; 0 ; 0.140581
48  ;  0 ; 96.3172 ; 2.93062 ; -0.109889 ; -0.0511266 ; 0.992628 ; -0.00562559 ; 0.998692 ; 0.0508161 ; -0.993928 ; 0 ; -0.110033
48  ;  0 ; 96.3172 ; 2.93062 ; -0.109889 ; -0.0511266 ; 0.992628 ; -0.00562559 ; 0.998692 ; 0.0508161 ; -0.993928 ; 0 ; -0.110033
49  ;  0 ; 90.5944 ; 164.759 ; 0.0100088 ; -0.262886 ; -0.964775 ; -0.00272709 ; -0.964827 ; 0.262872 ; -0.999946 ; 0 ; -0.0103737
49  ;  0 ; 90.5944 ; 164.759 ; 0.0100088 ; -0.262886 ; -0.964775 ; -0.00272709 ; -0.964827 ; 0.262872 ; -0.999946 ; 0 ; -0.0103737
50  ;  0 ; 72.774 ; 175.618 ; -0.295275 ; -0.0764076 ; -0.952352 ; 0.0226274 ; -0.997077 ; 0.0729803 ; -0.955144 ; 0 ; 0.296141
50  ;  0 ; 72.774 ; 175.618 ; -0.295275 ; -0.0764076 ; -0.952352 ; 0.0226274 ; -0.997077 ; 0.0729803 ; -0.955144 ; 0 ; 0.296141
51  ;  0 ; 94.3738 ; 175.428 ; 0.07602 ; -0.079709 ; -0.993915 ; -0.00607882 ; -0.996818 ; 0.0794769 ; -0.997088 ; 0 ; -0.0762627
51  ;  0 ; 94.3738 ; 175.428 ; 0.07602 ; -0.079709 ; -0.993915 ; -0.00607882 ; -0.996818 ; 0.0794769 ; -0.997088 ; 0 ; -0.0762627
52  ;  0 ; 97.6519 ; 156.981 ; 0.122551 ; -0.391041 ; -0.912178 ; -0.0520687 ; -0.920373 ; 0.387559 ; -0.991095 ; 0 ; -0.133154
52  ;  0 ; 97.6519 ; 156.981 ; 0.122551 ; -0.391041 ; -0.912178 ; -0.0520687 ; -0.920373 ; 0.387559 ; -0.991095 ; 0 ; -0.133154
53  ;  0 ; 83.5751 ; 175.597 ; -0.111571 ; -0.076769 ; -0.990787 ; 0.00859052 ; -0.997049 ; 0.0762868 ; -0.993719 ; 0 ; 0.111901
53  ;  0 ; 83.5751 ; 175.597 ; -0.111571 ; -0.076769 ; -0.990787 ; 0.00859052 ; -0.997049 ; 0.0762868 ; -0.993719 ; 0 ; 0.111901
54  ;  0 ; 92.5146 ; 21.2298 ; -0.0408969 ; -0.362109 ; 0.931238 ; -0.0158873 ; 0.932136 ; 0.361761 ; -0.999037 ; 0 ; -0.0438744
55  ;  0 ; 90.6574 ; 168.358 ; 0.0112371 ; -0.201791 ; -0.979364 ; -0.00231518 ; -0.979429 ; 0.201778 ; -0.999934 ; 0 ; -0.0114732
55  ;  0 ; 90.6574 ; 168.358 ; 0.0112371 ; -0.201791 ; -0.979364 ; -0.00231518 ; -0.979429 ; 0.201778 ; -0.999934 ; 0 ; -0.0114732
55  ;  0 ; 90.6574 ; 168.358 ; 0.0112371 ; -0.201791 ; -0.979364 ; -0.00231518 ; -0.979429 ; 0.201778 ; -0.999934 ; 0 ; -0.0114732
56  ;  0 ; 89.0711 ; 6.35801 ; 0.0161116 ; -0.110741 ; 0.993719 ; 0.00179525 ; 0.993849 ; 0.110726 ; -0.999869 ; 0 ; 0.0162113
57  ;  0 ; 65.2206 ; 155.679 ; -0.381929 ; -0.411849 ; -0.827352 ; 0.172616 ; -0.911252 ; 0.373929 ; -0.907928 ; 0 ; 0.419125
57  ;  0 ; 65.2206 ; 155.679 ; -0.381929 ; -0.411849 ; -0.827352 ; 0.172616 ; -0.911252 ; 0.373929 ; -0.907928 ; 0 ; 0.419125
58  ;  0 ; 98.0291 ; 179.051 ; 0.139657 ; -0.0165581 ; -0.990062 ; -0.00231277 ; -0.999863 ; 0.0163958 ; -0.990197 ; 0 ; -0.139676
59  ;  0 ; 89.027 ; 9.95823 ; 0.016725 ; -0.17293 ; 0.984792 ; 0.0029365 ; 0.984934 ; 0.172905 ; -0.999856 ; 0 ; 0.0169808
59  ;  0 ; 89.027 ; 9.95823 ; 0.016725 ; -0.17293 ; 0.984792 ; 0.0029365 ; 0.984934 ; 0.172905 ; -0.999856 ; 0 ; 0.0169808
60  ;  0 ; 78.2701 ; 6.36542 ; 0.202044 ; -0.110869 ; 0.973081 ; 0.0225394 ; 0.993835 ; 0.108554 ; -0.979117 ; 0 ; 0.203298
60  ;  0 ; 78.2701 ; 6.36542 ; 0.202044 ; -0.110869 ; 0.973081 ; 0.0225394 ; 0.993835 ; 0.108554 ; -0.979117 ; 0 ; 0.203298
61  ;  0 ; 110.712 ; 3.3793 ; -0.353064 ; -0.0589457 ; 0.933741 ; -0.0208478 ; 0.998261 ; 0.0551359 ; -0.935367 ; 0 ; -0.353679
61  ;  0 ; 110.712 ; 3.3793 ; -0.353064 ; -0.0589457 ; 0.933741 ; -0.0208478 ; 0.998261 ; 0.0551359 ; -0.935367 ; 0 ; -0.353679
62  ;  0 ; 90.8299 ; 179.158 ; 0.014482 ; -0.014698 ; -0.999787 ; -0.000212879 ; -0.999892 ; 0.0146964 ; -0.999895 ; 0 ; -0.0144835
63  ;  0 ; 90.6574 ; 168.358 ; 0.0112371 ; -0.201791 ; -0.979364 ; -0.00231518 ; -0.979429 ; 0.201778 ; -0.999934 ; 0 ; -0.0114732
63  ;  0 ; 90.6574 ; 168.358 ; 0.0112371 ; -0.201791 ; -0.979364 ; -0.00231518 ; -0.979429 ; 0.201778 ; -0.999934 ; 0 ; -0.0114732
63  ;  0 ; 90.6574 ; 168.358 ; 0.0112371 ; -0.201791 ; -0.979364 ; -0.00231518 ; -0.979429 ; 0.201778 ; -0.999934 ; 0 ; -0.0114732
63  ;  0 ; 90.6574 ; 168.358 ; 0.0112371 ; -0.201791 ; -0.979364 ; -0.00231518 ; -0.979429 ; 0.201778 ; -0.999934 ; 0 ; -0.0114732
64  ;  0 ; 89.027 ; 9.95823 ; 0.016725 ; -0.17293 ; 0.984792 ; 0.0029365 ; 0.984934 ; 0.172905 ; -0.999856 ; 0 ; 0.0169808
64  ;  0 ; 89.027 ; 9.95823 ; 0.016725 ; -0.17293 ; 0.984792 ; 0.0029365 ; 0.984934 ; 0.172905 ; -0.999856 ; 0 ; 0.0169808
